"Name -- 2016v1_5","Diff Name -- 2016v1_4","Sequence Number -- 2016v1_5","Sequence Number -- 2016v1_4","Label -- 2016v1_5","Diff Label -- 2016v1_4","Type -- 2016v1_5","Diff Type -- 2016v1_4","Choice Name -- 2016v1_5","Diff Choice Name -- 2016v1_4","Choice Labels -- 2016v1_5","Diff Choice Labels -- 2016v1_4"
"id10077",,"93","73","Did (s)he suffer from any injury or accident that led to her/his death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"injuries_accidents_yes",,"94","74","Injuries and accidents detail",,"begin group",,,,,
"id10079",,"95","75","Was it a road traffic accident?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10080",,"96","76","What was her/his role in the road traffic accident?",,"select_one select_292",,"select_292","select_ONE SELECT_292","pedestrian; driver or passenger in car or light vehicle; driver or passenger in bus or heavy vehicle; driver or passenger on a motorcycle; driver or passenger on a pedal cycle; other; doesn't know; refused to answer","[empty cell]"
"id10081",,"97","77","What was the counterpart that was hit during the road traffic accident?",,"select_one select_293",,"select_293","select_ONE SELECT_293","pedestrian; stationary object; car or light vehicle; bus or heavy vehicle; motorcycle; pedal cycle; other; doesn't know; refused to answer","[empty cell]"
"id10082",,"98","78","Was (s)he injured in a non-road transport accident?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10083",,"99","79","Was (s)he injured in a fall?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10084",,"100","80","Was there any poisoning?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10085",,"101","81","Did (s)he die of drowning?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10086",,"102","82","Was (s)he injured by a bite or sting by venomous animal?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10087",,"103","83","Was (s)he injured by an animal or insect (non-venomous)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10088",,"104","84","What was the animal/insect?",,"select_one select_299",,"select_299","select_ONE SELECT_299","dog; snake; insect or scorpion; other; doesn't know; refused to answer","[empty cell]"
"id10089",,"105","85","Was (s)he injured by burns/fire?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10090",,"106","86","Was (s)he subject to violence (suicide, homicide, abuse)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10091",,"107","87","Was (s)he injured by a firearm?","was (s)he injured by a FIRE ARM?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10092",,"108","88","Was (s)he stabbed, cut or pierced?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10093",,"109","89","Was (s)he strangled?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10094",,"110","90","Was (s)he injured by a blunt force?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10095",,"111","91","Was (s)he injured by a force of nature?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10096",,"112","92","Was it electrocution?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10097",,"113","93","Did (s)he encounter any other injury?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10098",,"114","94","Was the injury accidental?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10099",,"115","95","Was the injury self-inflicted?","was the injury OR ACCIDENT self-inflicted?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10100",,"116","96","Was the injury intentionally inflicted by someone else?","was the injury OR ACCIDENT intentionally inflicted by someone else?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"illhistory",,"117","111","Health history",,"begin group",,,,,
"id10351",,"118","112","How many days old was the baby when the fatal illness started?","how old was the baby when the fatal illness started?","integer",,,,,
"id10408",,"119","113","Before the illness that led to death, was the baby/the child growing normally?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"illdur",,"120","114","Duration of illness",,"begin group",,,,,
"id10120_0","[no match found]","121","","For how many days was (s)he ill before death?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10120_unit","[no match found]","122","","For how long was (s)he ill before death?","[no match found]","select_one units_1","[no match found]","units_1","[no match found]","days; months; years; doesn't know; refused to answer","[no match found]"
"id10121",,"123","118","Months",,"integer",,,,,
"id10122",,"124","117","Years","WEEKS","integer",,,,,
"id10120_1","[no match found]","125","","Days","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10120",,"126","116","Calculated number of Days with illness","days","calculate","INTEGER",,,,
"id10123",,"127","119","Did (s)he die suddenly?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"med_hist_final_illness",,"128","120","Medical history associated with final illness",,"begin group",,,,,
"id10125",,"129","121","Was there any diagnosis by a health professional of tuberculosis?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10126",,"130","122","Was an HIV test ever positive?","was THE hiv test ever positive?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10127",,"131","123","Was there any diagnosis by a health professional of AIDS?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10128",,"132","124","Did (s)he have a recent positive test by a health professional for malaria?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10129",,"133","125","Did (s)he have a recent negative test by a health professional for malaria?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10130",,"134","126","Was there any diagnosis by a health professional of dengue fever?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10131",,"135","127","Was there any diagnosis by a health professional of measles?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10132",,"136","128","Was there any diagnosis by a health professional of high blood pressure?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10133",,"137","129","Was there any diagnosis by a health professional of heart disease?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10134",,"138","130","Was there any diagnosis by a health professional of diabetes?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10135",,"139","131","Was there any diagnosis by a health professional of asthma?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10136",,"140","132","Was there any diagnosis by a health professional of epilepsy?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10137",,"141","133","Was there any diagnosis by a health professional of cancer?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10138",,"142","134","Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10139",,"143","135","Was there any diagnosis by a health professional of dementia?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10140",,"144","136","Was there any diagnosis by a health professional of depression?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10141",,"145","137","Was there any diagnosis by a health professional of stroke?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10142",,"146","138","Was there any diagnosis by a health professional of sickle cell disease?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10143",,"147","139","Was there any diagnosis by a health professional of kidney disease?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10144",,"148","140","Was there any diagnosis by a health professional of liver disease?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"signs_symptoms_final_illness",,"149","141","General signs and symptoms associated with final illness",,"begin group",,,,,
"id10147",,"150","142","Did (s)he have a fever?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10148_a","[no match found]","151","","How many days did the fever last?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10148_units","[no match found]","152","","How long did the fever last?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10148_b","[no match found]","153","","Enter how long the fever lasted in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10148_c","[no match found]","154","","Enter how long the fever lasted in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10148",,"155","143","How many days did the fever last?",,"calculate","INTEGER",,,,
"id10149",,"156","144","Did the fever continue until death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10150",,"157","145","How severe was the fever?",,"select_one select_63",,"select_63","select_ONE SELECT_63","mild; moderate; severe; doesn't know; refused to answer","[empty cell]"
"id10151",,"158","146","What was the pattern of the fever?",,"select_one select_64",,"select_64","select_ONE SELECT_64","continuous; on and off; only at night; doesn't know; refused to answer","[empty cell]"
"id10152",,"159","147","Did (s)he have night sweats?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10153",,"160","148","Did (s)he have a cough?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10154_units","[no match found]","161","","For how long did (s)he have a cough?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10154_a","[no match found]","162","","Enter how long (s)he had a cough in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10154_b","[no match found]","163","","Enter how long (s)he had a cough in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10154",,"164","149","For how many days did (s)he have a cough?",,"calculate","INTEGER",,,,
"id10155",,"165","150","Was the cough productive, with sputum?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10156",,"166","151","Was the cough very severe?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10157",,"167","152","Did (s)he cough up blood?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10158",,"168","153","Did (s)he make a whooping sound when coughing?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10159",,"169","154","Did (s)he have any difficulty breathing?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"breathdur",,"170","155","Duration of breathing difficulty",,"begin group",,,,,
"id10161_0","[no match found]","171","","For how many days did the difficulty breathing last?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10161_unit","[no match found]","172","","For how long did the difficult breathing last?","[no match found]","select_one units","[no match found]","units","[no match found]","days; months; years; doesn't know; refused to answer","[no match found]"
"id10161_1","[no match found]","173","","Enter how long the difficult breathing lasted in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10162",,"174","157","Enter how long the difficult breathing lasted in months:","FOR how MANY MONTHS DID the DIFFICULTY breathing LAST?","integer",,,,,
"id10163",,"175","158","Enter how long the difficult breathing lasted in years:","FOR how MANY YEARS DID the DIFFICULTY breathing LAST?","integer",,,,,
"id10161",,"176","156","Calculated number of Days with illness","FOR HOW MANY DAYS DID THE DIFFICULTY BREATHING LAST?","calculate","INTEGER",,,,
"id10165",,"177","159","Was the difficulty continuous or on and off?",,"select_one select_80",,"select_80","select_ONE SELECT_80","continuous; on and off; doesn't know; refused to answer","[empty cell]"
"id10166",,"178","160","During the illness that led to death, did (s)he have fast breathing?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10167_a","[no match found]","179","","For how many days did the fast breathing last?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10167_units","[no match found]","180","","How long did the fast breathing last?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10167_b","[no match found]","181","","Enter how long the fast breathing lasted in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10167_c","[no match found]","182","","Enter how long the fast breathing lasted in months:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10167",,"183","161","How long did the fast breathing last?","FOR HOW MANY DAYS did the fast breathing last?","calculate","INTEGER",,,,
"id10168",,"184","162","Did (s)he have breathlessness?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10169_a","[no match found]","185","","For how many days did (s)he have breathlessness?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"id10169_units","[no match found]","186","","How long did (s)he have breathlessness?","[no match found]","select_one units_2","[no match found]","units_2","[no match found]","days; months; doesn't know; refused to answer","[no match found]"
"id10169_b","[no match found]","187","","Enter how long (s)he had breathlessness in days:","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
